GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,cgp,wins,losses,winpercent,homerecord,awayrecord
2020-03-01,1610612766,1610612749,2019,85.0,93.0,178.0,59,21,38,0.35600000000000004,9-18,12-20
2020-03-01,1610612750,1610612742,2019,91.0,111.0,202.0,58,17,41,0.293,7-21,10-20
2020-03-01,1610612746,1610612755,2019,136.0,130.0,266.0,59,40,19,0.6779999999999999,24-6,16-13
2020-03-01,1610612743,1610612761,2019,133.0,118.0,251.0,59,40,19,0.6779999999999999,23-7,17-12
2020-03-01,1610612758,1610612765,2019,106.0,100.0,206.0,59,25,34,0.424,12-15,13-19
2020-03-01,1610612740,1610612747,2019,114.0,122.0,236.0,59,26,33,0.441,12-17,14-16
2020-03-01,1610612744,1610612764,2019,110.0,124.0,234.0,60,13,47,0.217,7-23,6-24
2020-02-29,1610612752,1610612741,2019,125.0,115.0,240.0,59,17,42,0.28800000000000003,8-20,9-22
2020-02-29,1610612737,1610612757,2019,129.0,117.0,246.0,61,18,43,0.295,12-18,6-25
2020-02-29,1610612748,1610612751,2019,116.0,113.0,229.0,59,37,22,0.627,24-4,13-18
2020-02-29,1610612739,1610612754,2019,104.0,113.0,217.0,59,17,42,0.28800000000000003,9-22,8-20
2020-02-29,1610612763,1610612747,2019,105.0,88.0,193.0,59,28,31,0.475,16-14,12-17
2020-02-29,1610612738,1610612745,2019,110.0,111.0,221.0,58,41,17,0.7070000000000001,23-5,18-12
2020-02-29,1610612759,1610612753,2019,114.0,113.0,227.0,57,24,33,0.42100000000000004,14-13,10-20
2020-02-29,1610612756,1610612744,2019,99.0,115.0,214.0,60,24,36,0.4,11-20,13-16
2020-02-28,1610612753,1610612750,2019,136.0,125.0,261.0,58,26,32,0.44799999999999995,15-14,11-18
2020-02-28,1610612737,1610612751,2019,141.0,118.0,259.0,60,17,43,0.28300000000000003,11-18,6-25
2020-02-28,1610612761,1610612766,2019,96.0,99.0,195.0,58,42,16,0.7240000000000001,23-8,19-8
2020-02-28,1610612748,1610612742,2019,126.0,118.0,244.0,58,36,22,0.621,23-4,13-18
2020-02-28,1610612763,1610612758,2019,101.0,104.0,205.0,58,28,30,0.483,16-13,12-17
2020-02-28,1610612749,1610612760,2019,133.0,86.0,219.0,58,50,8,0.862,26-3,24-5
2020-02-28,1610612740,1610612739,2019,116.0,104.0,220.0,58,25,33,0.431,11-17,14-16
2020-02-28,1610612756,1610612765,2019,111.0,113.0,224.0,59,24,35,0.40700000000000003,11-19,13-16
2020-02-28,1610612762,1610612764,2019,129.0,119.0,248.0,58,36,22,0.621,20-9,16-13
2020-02-28,1610612746,1610612743,2019,132.0,103.0,235.0,58,39,19,0.672,23-6,16-13
2020-02-27,1610612755,1610612752,2019,115.0,106.0,221.0,59,36,23,0.61,27-2,9-21
2020-02-27,1610612754,1610612757,2019,106.0,100.0,206.0,58,34,24,0.586,20-10,14-14
2020-02-27,1610612760,1610612758,2019,112.0,108.0,220.0,58,36,22,0.621,19-12,17-10
2020-02-27,1610612744,1610612747,2019,86.0,116.0,202.0,58,12,46,0.207,7-22,5-24
2020-02-26,1610612766,1610612752,2019,107.0,101.0,208.0,57,19,38,0.33299999999999996,8-18,11-20
2020-02-26,1610612739,1610612755,2019,108.0,94.0,202.0,57,16,41,0.281,8-22,8-19
2020-02-26,1610612764,1610612751,2019,110.0,106.0,216.0,56,20,36,0.35700000000000004,13-15,7-21
2020-02-26,1610612737,1610612753,2019,120.0,130.0,250.0,59,17,42,0.28800000000000003,11-17,6-25
2020-02-26,1610612748,1610612750,2019,126.0,129.0,255.0,57,36,21,0.632,23-3,13-18
2020-02-26,1610612745,1610612763,2019,140.0,112.0,252.0,57,37,20,0.649,20-8,17-12
2020-02-26,1610612759,1610612742,2019,103.0,109.0,212.0,56,24,32,0.429,14-12,10-20
2020-02-26,1610612756,1610612746,2019,92.0,102.0,194.0,58,24,34,0.414,11-18,13-16
2020-02-26,1610612762,1610612738,2019,103.0,114.0,217.0,57,36,21,0.632,20-8,16-13
2020-02-25,1610612754,1610612766,2019,119.0,80.0,199.0,57,33,24,0.579,19-10,14-14
2020-02-25,1610612761,1610612749,2019,97.0,108.0,205.0,57,42,15,0.737,23-7,19-8
2020-02-25,1610612741,1610612760,2019,122.0,124.0,246.0,58,20,38,0.345,12-18,8-20
2020-02-25,1610612743,1610612765,2019,115.0,98.0,213.0,57,39,18,0.684,22-7,17-11
2020-02-25,1610612747,1610612740,2019,118.0,109.0,227.0,55,43,12,0.782,20-7,23-5
2020-02-25,1610612757,1610612738,2019,106.0,118.0,224.0,58,26,32,0.44799999999999995,16-12,10-20
2020-02-25,1610612744,1610612758,2019,94.0,112.0,206.0,57,12,45,0.21100000000000002,7-21,5-24
2020-02-24,1610612739,1610612748,2019,125.0,119.0,244.0,56,15,41,0.268,7-22,8-19
2020-02-24,1610612755,1610612737,2019,129.0,112.0,241.0,57,35,22,0.614,26-2,9-20
2020-02-24,1610612764,1610612749,2019,134.0,137.0,271.0,55,20,35,0.364,13-14,7-21
2020-02-24,1610612751,1610612753,2019,113.0,115.0,228.0,55,26,29,0.473,16-12,10-17
2020-02-24,1610612745,1610612752,2019,123.0,112.0,235.0,56,36,20,0.643,19-8,17-12
