GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10,cgp,wins,losses,winpercent,cgp_away,wins_away,losses_away,winpercen_away,hometeam-homewins,hometeam-awaywins,awayteam-homewins,awayteam-awaywins,avgpointtotal_home,avgpointtotal_away,meanpointtotal
2020-03-01,1610612766,1610612749,2019,85.0,93.0,178.0,98.55,108.05,122.2,107.5,59,21,38,0.35600000000000004,59,51,8,0.8640000000000001,9,12,27,24,205.64,222.4,214.01999999999998
2020-03-01,1610612750,1610612742,2019,91.0,111.0,202.0,116.1,123.15,115.45,112.9,58,17,41,0.293,60,36,24,0.6,7,10,16,20,224.64,223.64,224.14
2020-03-01,1610612746,1610612755,2019,136.0,130.0,266.0,116.65,109.3,107.55,107.9,59,40,19,0.6779999999999999,60,37,23,0.617,24,16,28,9,226.24,216.72,221.48000000000002
2020-03-01,1610612743,1610612761,2019,133.0,118.0,251.0,112.35,109.5,115.95,107.4,59,40,19,0.6779999999999999,59,42,17,0.7120000000000001,23,17,23,19,219.0,221.72,220.36
2020-03-01,1610612758,1610612765,2019,106.0,100.0,206.0,112.65,112.55,106.85,110.05,59,25,34,0.424,61,20,41,0.328,12,13,11,9,217.48,221.0,219.24
2020-03-01,1610612740,1610612747,2019,114.0,122.0,236.0,120.8,117.3,116.2,109.4,59,26,33,0.441,58,45,13,0.7759999999999999,12,14,21,24,227.04,224.28,225.66
2020-03-01,1610612744,1610612764,2019,110.0,124.0,234.0,108.0,118.3,116.3,120.55,60,13,47,0.217,58,21,37,0.362,7,6,14,7,220.32,220.76,220.54
2020-02-29,1610612752,1610612741,2019,125.0,115.0,240.0,105.4,110.2,108.5,113.5,59,17,42,0.28800000000000003,59,20,39,0.339,8,9,12,8,211.72,208.88,210.3
2020-02-29,1610612737,1610612757,2019,129.0,117.0,246.0,118.15,122.4,115.4,118.05,61,18,43,0.295,60,26,34,0.433,12,6,16,10,224.72,228.32,226.51999999999998
2020-02-29,1610612748,1610612751,2019,116.0,113.0,229.0,114.75,112.3,112.3,111.4,59,37,22,0.627,58,26,32,0.448,24,13,16,10,220.88,211.76,216.32
2020-02-29,1610612739,1610612754,2019,104.0,113.0,217.0,110.7,117.5,109.4,108.85,59,17,42,0.28800000000000003,59,35,24,0.593,9,8,21,14,221.12,209.56,215.34
2020-02-29,1610612763,1610612747,2019,105.0,88.0,193.0,113.4,112.75,118.05,109.65,59,28,31,0.475,57,45,12,0.789,16,12,21,24,217.48,224.28,220.88
2020-02-29,1610612738,1610612745,2019,110.0,111.0,221.0,116.7,109.25,117.65,114.7,58,41,17,0.7070000000000001,58,38,20,0.655,23,18,21,17,221.48,228.12,224.8
2020-02-29,1610612759,1610612753,2019,114.0,113.0,227.0,111.4,113.0,108.8,111.35,57,24,33,0.421,59,27,32,0.458,14,10,16,11,217.36,210.64,214.0
2020-02-29,1610612756,1610612744,2019,99.0,115.0,214.0,108.1,109.85,107.15,118.9,60,24,36,0.4,59,12,47,0.203,11,13,7,5,217.8,220.32,219.06
2020-02-28,1610612753,1610612750,2019,136.0,125.0,261.0,107.05,109.55,115.45,122.3,58,26,32,0.448,57,17,40,0.298,15,11,7,10,208.8,224.64,216.72
