date,team,site,o:team,total,points,o:points
20111225,Knicks,home,Celtics,193.5,106,104
20111225,Celtics,away,Knicks,193.5,104,106
20111225,Lakers,home,Bulls,184.5,87,88
20111225,Bulls,away,Lakers,184.5,88,87
20111225,Mavericks,home,Heat,189.0,94,105
20111225,Heat,away,Mavericks,189.0,105,94
20111225,Thunder,home,Magic,194.5,97,89
20111225,Magic,away,Thunder,194.5,89,97
20111225,Warriors,home,Clippers,208.0,86,105
20111225,Clippers,away,Warriors,208.0,105,86
20111226,Hornets,home,Bucks,180.0,96,95
20111226,Bucks,away,Hornets,180.0,95,96
20111226,Cavaliers,home,Raptors,198.0,96,104
20111226,Raptors,away,Cavaliers,198.0,104,96
20111226,Kings,home,Lakers,197.0,100,91
20111226,Lakers,away,Kings,197.0,91,100
20111226,Magic,home,Rockets,199.0,104,95
20111226,Rockets,away,Magic,199.0,95,104
20111226,Mavericks,home,Nuggets,202.0,93,115
20111226,Nuggets,away,Mavericks,202.0,115,93
20111226,Pacers,home,Pistons,196.0,91,79
20111226,Pistons,away,Pacers,196.0,79,91
20111226,Spurs,home,Grizzlies,194.5,95,82
20111226,Grizzlies,away,Spurs,194.5,82,95
20111226,Suns,home,Pelicans,194.0,84,85
20111226,Pelicans,away,Suns,194.0,85,84
20111226,Timberwolves,home,Thunder,207.5,100,104
20111226,Thunder,away,Timberwolves,207.5,104,100
20111226,Trailblazers,home,Seventysixers,188.0,107,103
20111226,Seventysixers,away,Trailblazers,188.0,103,107
20111226,Warriors,home,Bulls,196.0,99,91
20111226,Bulls,away,Warriors,196.0,91,99
20111226,Wizards,home,Nets,190.0,84,90
20111226,Nets,away,Wizards,190.0,90,84
20111227,Bucks,home,Timberwolves,193.0,98,95
20111227,Timberwolves,away,Bucks,193.0,95,98
20111227,Heat,home,Celtics,186.5,115,107
20111227,Celtics,away,Heat,186.5,107,115
20111227,Lakers,home,Jazz,186.5,96,71
20111227,Jazz,away,Lakers,186.5,71,96
20111227,Nets,home,Hawks,178.5,70,106
20111227,Hawks,away,Nets,178.5,106,70
20111227,Trailblazers,home,Kings,197.0,101,79
20111227,Kings,away,Trailblazers,197.0,79,101
20111228,Hornets,home,Heat,190.5,95,96
20111228,Heat,away,Hornets,190.5,96,95
20111228,Grizzlies,home,Thunder,194.0,95,98
20111228,Thunder,away,Grizzlies,194.0,98,95
20111228,Hawks,home,Wizards,186.0,101,83
20111228,Wizards,away,Hawks,186.0,83,101
20111228,Pelicans,home,Celtics,175.0,97,78
20111228,Celtics,away,Pelicans,175.0,78,97
20111228,Nuggets,home,Jazz,203.0,117,100
20111228,Jazz,away,Nuggets,203.0,100,117
20111228,Pistons,home,Cavaliers,189.0,89,105
20111228,Cavaliers,away,Pistons,189.0,105,89
20111228,Raptors,home,Pacers,193.5,85,90
20111228,Pacers,away,Raptors,193.5,90,85
20111228,Spurs,home,Clippers,194.5,115,90
20111228,Clippers,away,Spurs,194.5,90,115
20111228,Suns,home,Seventysixers,197.0,83,103
20111228,Seventysixers,away,Suns,197.0,103,83
20111228,Warriors,home,Knicks,204.0,92,78
20111228,Knicks,away,Warriors,204.0,78,92
20111229,Kings,home,Bulls,188.0,98,108
20111229,Bulls,away,Kings,188.0,108,98
20111229,Lakers,home,Knicks,196.5,99,82
20111229,Knicks,away,Lakers,196.5,82,99
20111229,Magic,home,Nets,181.5,94,78
20111229,Nets,away,Magic,181.5,78,94
20111229,Rockets,home,Spurs,197.5,105,85
20111229,Spurs,away,Rockets,197.5,85,105
20111229,Thunder,home,Mavericks,196.0,104,102
20111229,Mavericks,away,Thunder,196.0,102,104
20111229,Trailblazers,home,Nuggets,202.0,111,102
20111229,Nuggets,away,Trailblazers,202.0,102,111
20111230,Hornets,home,Magic,183.5,79,100
20111230,Magic,away,Hornets,183.5,100,79
20111230,Bucks,home,Wizards,185.0,102,81
20111230,Wizards,away,Bucks,185.0,81,102
20111230,Celtics,home,Pistons,183.0,96,85
20111230,Pistons,away,Celtics,183.0,85,96
20111230,Clippers,home,Bulls,192.0,101,114
20111230,Bulls,away,Clippers,192.0,114,101
20111230,Grizzlies,home,Rockets,195.5,113,93
20111230,Rockets,away,Grizzlies,195.5,93,113
20111230,Hawks,home,Nets,177.0,105,98
20111230,Nets,away,Hawks,177.0,98,105
20111230,Pelicans,home,Suns,183.5,78,93
20111230,Suns,away,Pelicans,183.5,93,78
20111230,Jazz,home,Seventysixers,191.5,102,99
20111230,Seventysixers,away,Jazz,191.5,99,102
20111230,Mavericks,home,Raptors,193.0,99,86
20111230,Raptors,away,Mavericks,193.0,86,99
20111230,Pacers,home,Cavaliers,189.0,98,91
20111230,Cavaliers,away,Pacers,189.0,91,98
20111230,Timberwolves,home,Heat,210.0,101,103
20111230,Heat,away,Timberwolves,210.0,103,101
20111231,Kings,home,Knicks,200.0,92,114
20111231,Knicks,away,Kings,200.0,114,92
20111231,Lakers,home,Nuggets,198.0,92,89
20111231,Nuggets,away,Lakers,198.0,89,92
20111231,Pistons,home,Pacers,181.5,96,88
20111231,Pacers,away,Pistons,181.5,88,96
20111231,Rockets,home,Hawks,190.0,95,84
